year,x,sex,dx,ex,lx,mx,qx
1981,67,female,1679.4,14.69,78128.3,0.021729,0.021496
1981,67,male,2611.1,11.11,64513.4,0.04131,0.040474
1981,68,female,1861.5,14,76448.9,0.024649,0.024349
1981,68,male,2897.7,10.56,61902.3,0.047933,0.046811
1981,69,female,2314.8,13.33,74587.4,0.031523,0.031034
1981,69,male,2958.5,10.05,59004.6,0.051429,0.05014
1981,70,female,2174.5,12.75,72272.6,0.030547,0.030087
1981,70,male,3021.1,9.55,56046.1,0.055397,0.053904
1981,71,female,2201.2,12.13,70098.1,0.031903,0.031402
1981,71,male,3100.3,9.07,53025,0.06023,0.058469
1981,72,female,2575.2,11.5,67896.9,0.038661,0.037927
1981,72,male,3291.8,8.6,49924.7,0.068183,0.065935
1981,73,female,2559.9,10.94,65321.7,0.039972,0.039189
1981,73,male,3265.9,8.18,46632.9,0.072576,0.070034
1981,74,female,2805.3,10.36,62761.9,0.04572,0.044698
1981,74,male,3184.3,7.75,43367,0.076226,0.073428
1981,75,female,2736,9.82,59956.5,0.046699,0.045633
1981,75,male,3248.8,7.33,40182.7,0.084257,0.080851
1981,76,female,2775.9,9.27,57220.5,0.049718,0.048512
1981,76,male,3322.8,6.93,36933.8,0.094203,0.089965
1981,77,female,3029,8.72,54444.7,0.057227,0.055635
1981,77,male,3140.4,6.56,33611.1,0.098011,0.093433
1981,78,female,3121.2,8.2,51415.6,0.062606,0.060705
1981,78,male,3236,6.19,30470.7,0.112157,0.106201
1981,79,female,3407.7,7.7,48294.4,0.073142,0.070562
1981,79,male,2964.4,5.87,27234.7,0.11511,0.108845
1981,80,female,3520.1,7.24,44886.7,0.081622,0.078421
1981,80,male,3104.8,5.52,24270.3,0.136665,0.127924
1981,81,female,3503,6.82,41366.6,0.088425,0.084681
1981,81,male,2739.2,5.26,21165.6,0.13837,0.129417
1981,82,female,3760.4,6.4,37863.6,0.104503,0.099313
1981,82,male,2582.3,4.96,18426.4,0.1507,0.140141
