country,year,sex,e0,label,include,ch_e0
CZE,1994,male,69.49,Czechia,1,0.23999999999999488
DEUTNP,1994,male,72.95,Germany,1,0.3200000000000074
DNK,1994,male,72.78,Denmark,1,0.18000000000000682
ESP,1994,male,74.5,Spain,1,0.39000000000000057
EST,1994,male,60.82,Estonia,1,-1.6599999999999966
FIN,1994,male,72.8,Finland,1,0.6899999999999977
FRATNP,1994,male,73.64,France,1,0.39000000000000057
GRC,1994,male,75.05,Greece,1,0.1799999999999926
HUN,1994,male,65,Hungary,1,0.3499999999999943
IRL,1994,male,73.05,Ireland,1,0.4899999999999949
ISL,1994,male,77.09,Iceland,1,0.04000000000000625
ISR,1994,male,75.68,Israel,1,0.20000000000000284
ITA,1994,male,74.56,Italy,1,0.20000000000000284
JPN,1994,male,76.59,Japan,1,0.3200000000000074
LTU,1994,male,62.51,Lithuania,1,-0.6099999999999994
LUX,1994,male,73.12,Luxembourg,1,0.9900000000000091
LVA,1994,male,58.72,Latvia,1,-1.6600000000000037
NLD,1994,male,74.58,Netherlands,1,0.5999999999999943
NOR,1994,male,74.89,Norway,1,0.6500000000000057
NZL_NP,1994,male,74.14,New Zealand,1,0.37999999999999545
POL,1994,male,67.43,Poland,1,0.3100000000000023
PRT,1994,male,72.15,Portugal,1,1.0400000000000063
RUS,1994,male,57.38,Russia,1,-1.4099999999999966
SVK,1994,male,68.25,Slovakia,1,0.5100000000000051
SVN,1994,male,70.01,Slovenia,1,0.6800000000000068
SWE,1994,male,76.08,Sweden,1,0.5900000000000034
TWN,1994,male,72.11,Taiwan,1,0.01999999999999602
UKR,1994,male,62.38,Ukraine,1,-0.7899999999999991
GBR_NP,1994,male,74,United Kingdom,1,0.5600000000000023
USA,1994,male,72.39,USA,1,0.21999999999999886
AUS,1995,female,81.13,Australia,1,0.3100000000000023
AUT,1995,female,79.95,Austria,1,0.3200000000000074
BEL,1995,female,80.18,Belgium,1,0.19000000000001194
BGR,1995,female,74.87,Bulgaria,1,0.060000000000002274
BLR,1995,female,74.19,Belarus,1,-0.1700000000000017
CAN,1995,female,80.97,Canada,1,0.0799999999999983
CHE,1995,female,81.68,Switzerland,1,-0.01999999999999602
CZE,1995,female,76.65,Czechia,1,0
DEUTNP,1995,female,79.69,Germany,1,0.1799999999999926
DNK,1995,female,77.84,Denmark,1,-0.2599999999999909
ESP,1995,female,81.84,Spain,1,0.12000000000000455
EST,1995,female,74.35,Estonia,1,1.3599999999999994
